,correct_option,validated_option,llama70b,llama13b,llama7b,gpt35turbo,finetuned_gpt3,random,MoMu_zero,multimodal_correct_option,MoleculeSTM_zero,KV-PLM_zero,kvplm_correct_option,SciBERT_zero,MoMu_finetuned,MoleculeSTM_finetuned,galactica-125m_zero,galactica_correct_option,galactica-1.3b_zero,galactica-6.7b_zero,galactica-125m_finetuned,galactica-1.3b_finetuned,galactica-6.7b_finetuned
0,3,3,3,3,5,3,3,5,4,2,1,0,2,2,2,1,0,2,0,0,1,2,2
1,5,5,5,5,5,5,5,3,2,4,2,3,4,4,2,4,0,4,4,4,4,4,4
2,3,3,3,1,3,3,3,2,4,2,0,2,2,0,4,2,0,2,2,2,2,2,2
3,4,4,4,4,4,4,4,2,1,3,1,3,3,1,2,2,0,3,3,3,3,3,3
4,5,5,5,5,5,5,5,5,0,4,4,4,4,4,1,0,0,4,0,4,1,4,4
5,3,3,3,3,4,3,3,2,1,2,0,3,2,4,1,4,0,2,0,0,1,0,0
6,4,4,4,4,5,4,4,2,3,3,3,3,3,4,3,3,0,3,0,0,2,0,3
7,5,5,5,2,5,5,5,3,4,4,4,4,4,2,4,4,2,4,0,0,1,0,4
8,4,4,4,2,1,1,2,2,1,3,3,0,3,1,2,0,0,3,0,0,1,0,0
9,4,4,2,2,1,1,4,1,3,3,3,4,3,3,3,3,0,3,0,0,1,0,3
10,2,2,3,2,5,2,3,3,1,1,1,1,1,1,1,1,0,1,0,0,1,2,4
11,5,5,3,3,5,2,4,3,0,4,2,0,4,0,0,2,0,4,0,0,1,0,2
12,4,4,4,4,5,1,2,3,3,3,3,2,3,2,2,3,0,3,0,0,1,2,2
13,2,2,2,2,4,2,1,3,2,1,1,2,1,4,2,3,0,1,0,0,1,0,2
14,2,2,2,3,5,2,4,1,0,1,0,0,1,1,1,0,0,1,0,0,1,0,1
15,2,2,2,2,4,4,1,2,1,1,1,2,1,4,3,4,0,1,0,0,1,0,0
16,4,4,4,4,4,4,1,1,3,3,0,4,3,2,3,0,0,3,0,3,1,3,3
17,3,3,3,1,5,3,3,4,1,2,0,3,2,4,1,2,0,2,0,0,1,2,2
18,2,2,1,5,5,1,3,5,4,1,4,3,1,0,4,4,0,1,0,0,0,0,0
19,3,3,3,3,5,3,1,4,0,2,0,4,2,4,0,0,0,2,0,0,1,2,2
20,2,2,2,3,5,2,1,4,0,1,2,1,1,0,2,2,0,1,0,1,1,1,1
21,3,3,3,3,3,3,3,4,1,2,1,0,2,1,2,2,0,2,0,2,2,2,2
22,5,5,3,3,4,2,2,1,4,4,4,3,4,2,4,4,0,4,0,0,1,0,2
23,4,4,4,4,5,1,1,2,3,3,3,1,3,3,3,3,0,3,0,0,1,3,3
24,4,4,4,2,4,4,2,5,1,3,3,1,3,0,1,3,0,3,0,0,1,3,1
25,5,5,4,4,5,5,5,5,4,4,4,4,4,2,4,4,0,4,0,0,1,4,4
26,4,4,4,4,5,4,3,2,2,3,2,3,3,3,2,2,0,3,0,0,1,0,3
27,5,5,2,5,5,3,5,3,4,4,4,4,4,1,1,2,0,4,0,0,1,4,4
28,2,2,2,2,5,2,2,3,4,1,4,3,1,3,4,3,0,1,0,1,0,1,1
29,3,3,3,3,5,3,3,1,0,2,0,2,2,1,2,4,0,2,0,0,1,2,2
30,2,2,4,2,5,2,1,2,0,1,3,0,1,3,1,4,0,1,0,0,0,0,0
31,2,2,5,5,5,5,3,5,1,1,1,2,1,2,1,1,0,1,0,0,1,0,0
32,5,5,3,5,5,5,5,4,3,4,4,0,4,4,1,4,0,4,0,0,0,0,4
33,5,5,3,3,5,5,1,5,0,4,4,1,4,1,0,4,0,4,0,4,1,2,4
34,1,1,2,2,5,5,3,2,0,0,0,1,0,3,0,0,0,0,0,0,1,2,2
35,2,2,4,2,5,2,2,1,1,1,1,1,1,3,1,1,0,1,0,0,1,1,1
36,4,4,4,1,5,4,1,4,3,3,3,2,3,2,3,2,0,3,0,0,1,3,3
37,3,3,3,3,5,3,3,5,0,2,0,3,2,1,0,0,0,2,0,0,1,2,2
38,5,5,4,5,5,2,4,5,0,4,4,2,4,0,0,4,0,4,0,0,1,0,0
39,3,3,3,3,3,3,3,5,2,2,0,3,2,4,2,0,0,2,0,0,1,2,2
40,3,3,2,2,4,2,4,1,2,2,2,2,2,2,2,2,0,2,0,0,1,2,2
41,2,2,2,3,5,2,2,1,2,1,3,3,1,2,4,3,0,1,0,0,1,1,1
42,3,3,3,3,1,3,2,1,3,2,3,3,2,4,3,0,0,2,0,0,2,1,1
43,3,3,2,2,5,1,3,2,4,2,2,0,2,4,2,2,0,2,0,0,1,0,2
44,5,5,3,5,5,5,5,2,3,4,4,3,4,2,1,4,0,4,0,0,0,0,4
45,4,4,3,3,5,4,4,2,3,3,3,3,3,4,3,3,0,3,0,0,1,3,3
46,2,2,4,5,5,2,1,3,3,1,2,0,1,0,3,2,0,1,0,0,1,0,0
47,4,4,3,2,5,4,4,5,2,3,4,3,3,0,3,3,1,3,0,0,1,3,3
48,4,4,4,4,4,4,1,5,2,3,0,4,3,0,1,0,0,3,0,0,1,0,3
49,4,4,4,4,5,4,4,4,4,3,3,4,3,1,4,4,0,3,0,0,1,3,3
50,3,3,3,2,5,3,2,3,4,2,1,2,2,1,1,0,0,2,0,0,1,2,2
51,2,2,4,2,5,2,4,4,1,1,1,3,1,2,1,0,0,1,0,0,1,0,0
52,2,2,2,2,5,2,2,5,1,1,4,1,1,2,1,1,0,1,0,0,1,2,1
53,3,3,3,3,4,3,3,1,0,2,2,2,2,2,0,0,0,2,0,2,1,2,2
54,3,3,3,3,5,3,2,5,2,2,1,3,2,0,2,1,0,2,0,0,1,0,0
55,4,4,2,2,5,2,3,2,3,3,4,2,3,1,4,4,0,3,0,0,1,0,0
56,3,3,2,2,3,2,2,4,0,2,2,2,2,3,0,2,0,2,0,0,1,2,2
57,1,1,4,2,5,3,1,1,2,0,3,0,0,2,0,0,0,0,0,0,1,0,0
58,3,3,3,3,5,3,3,3,1,2,1,2,2,1,1,1,0,2,0,0,1,2,2
59,3,3,4,5,5,2,3,2,1,2,1,1,2,3,1,1,0,2,0,0,1,2,2
60,2,2,2,2,5,2,2,4,1,1,1,4,1,1,1,1,0,1,0,1,1,1,1
61,5,5,3,3,5,3,3,4,0,4,1,3,4,4,3,1,0,4,0,4,1,4,4
62,4,4,4,3,4,1,4,1,3,3,3,3,3,2,3,3,0,3,0,0,1,0,3
63,4,4,4,4,4,4,4,5,0,3,3,0,3,0,0,3,0,3,0,0,1,3,3
64,3,3,3,3,4,4,3,1,3,2,3,1,2,4,3,3,0,2,0,2,1,2,2
65,4,4,4,3,5,1,2,1,3,3,4,0,3,1,2,0,0,3,0,0,1,2,0
66,3,3,3,3,5,3,2,4,1,2,3,0,2,2,1,3,0,2,0,2,1,2,2
67,2,2,2,3,5,58,2,3,1,1,0,4,1,3,0,0,0,1,4,0,1,2,1
68,3,3,3,3,5,4,2,5,3,2,0,2,2,0,3,0,0,2,0,0,1,0,0
