,correct_option,llama70b,llama13b,llama7b,gpt35turbo,finetuned_gpt3,random,MoMu_zero,multimodal_correct_option,MoleculeSTM_zero,KV-PLM_zero,kvplm_correct_option,SciBERT_zero,MoMu_finetuned,MoleculeSTM_finetuned,galactica-125m_zero,galactica_correct_option,galactica-1.3b_zero,galactica-6.7b_zero,galactica-125m_finetuned,galactica-1.3b_finetuned,galactica-6.7b_finetuned
0,3,4,3,1,5,3,4,3,1,1,0,2,2,3,1,2,2,0,1,4,4,4
1,3,5,3,5,5,1,1,1,1,1,2,2,3,1,1,0,2,0,0,1,1,1
2,5,2,3,4,2,3,3,3,3,3,4,4,0,3,3,0,4,0,1,1,3,2
3,3,4,2,5,2,3,3,2,0,2,4,2,3,2,4,2,2,0,2,3,4,4
4,3,1,1,1,5,1,3,4,4,1,0,2,3,1,1,3,2,0,3,1,0,2
5,3,1,1,-1,3,3,4,0,0,0,0,2,2,0,0,3,2,3,3,1,2,2
6,1,1,1,1,2,2,1,2,2,2,1,0,0,2,2,4,0,0,4,1,3,2
7,2,2,2,1,2,3,1,2,2,2,1,1,2,2,2,3,1,0,0,4,4,4
8,2,5,2,-1,5,4,2,3,0,4,4,1,1,3,2,0,1,3,0,1,3,2
9,1,1,3,5,1,4,3,3,4,2,0,0,2,2,2,0,0,1,0,0,3,3
10,4,4,1,1,4,2,4,4,3,1,3,3,3,0,0,2,3,0,2,2,2,2
11,2,3,3,3,4,2,4,0,2,0,0,1,1,0,0,0,1,0,3,3,4,0
12,2,5,3,-1,3,2,4,1,1,4,1,1,1,1,4,1,1,1,1,0,2,3
13,2,1,4,-1,1,4,1,1,1,1,1,1,1,4,4,1,1,0,0,3,3,3
14,2,4,4,1,5,3,1,2,2,2,1,1,1,2,2,1,1,0,0,4,4,0
15,5,1,2,1,2,4,1,2,3,2,3,4,2,2,2,4,4,0,4,1,2,2
16,5,2,3,-1,3,3,3,4,0,4,4,4,4,2,2,4,4,4,4,1,3,2
17,3,5,3,1,2,14,1,3,0,0,0,2,1,0,0,2,2,0,3,3,1,1
18,3,1,2,1,2,1,4,4,1,1,3,2,1,4,1,0,2,0,0,1,2,2
19,4,5,3,5,5,4,1,3,3,3,4,3,2,3,3,0,3,0,0,2,1,3
20,2,2,2,1,4,3,1,3,3,3,1,1,1,3,3,0,1,0,3,3,3,3
21,1,4,1,5,5,3,5,4,4,4,3,0,0,4,4,2,0,0,4,4,4,0
22,4,4,5,3,3,4,5,0,0,0,4,3,0,0,0,0,3,0,2,2,2,2
23,2,1,2,1,1,1,5,4,3,3,0,1,4,4,0,3,1,3,0,2,2,0
24,4,3,3,5,5,4,3,3,4,4,1,3,1,1,4,0,3,0,2,2,2,2
25,3,4,4,2,5,4,2,2,4,2,4,2,3,2,2,1,2,1,0,0,2,3
26,5,1,1,1,5,4,3,3,3,3,4,4,2,3,3,2,4,0,0,4,3,4
27,2,4,1,-1,5,2,4,0,4,4,2,1,1,4,4,4,1,0,0,1,3,2
28,5,4,3,1,1,1,4,2,2,2,1,4,1,2,2,0,4,0,0,2,3,3
29,5,3,1,-1,4,2,2,1,1,1,4,4,1,1,1,4,4,4,4,1,1,1
30,1,4,1,-1,4,1,2,4,4,2,0,0,1,1,2,0,0,1,2,2,3,2
31,1,4,4,5,4,2,5,0,0,0,1,0,1,0,0,1,0,0,4,4,4,4
32,5,3,3,1,5,1,1,4,2,2,1,4,3,2,2,1,4,0,1,2,2,0
33,4,5,5,4,5,1,1,4,2,3,1,3,1,3,4,2,3,0,0,1,4,4
34,1,4,3,-1,4,2,5,3,3,3,0,0,2,3,3,4,0,4,1,2,2,2
35,1,1,2,1,1,4,3,2,0,3,0,0,3,0,3,4,0,4,0,1,2,2
36,3,1,1,-1,2,3,2,4,4,3,2,2,3,4,0,3,2,3,3,2,2,2
37,3,3,3,-1,4,4,5,0,0,0,1,2,4,0,0,1,2,1,1,2,2,2
38,5,3,1,4,4,4,4,2,2,4,4,4,3,1,4,0,4,0,1,2,2,2
39,5,1,2,-1,3,3,1,4,0,1,4,4,1,0,0,1,4,0,0,0,3,3
40,2,2,2,1,2,3,2,0,1,1,1,1,3,2,1,0,1,0,1,1,3,3
41,4,4,2,4,2,3,3,2,2,2,3,3,2,2,2,4,3,4,2,1,2,2
42,5,5,3,-1,1,1,5,3,4,0,2,4,4,0,0,4,4,0,0,1,2,2
43,4,4,2,5,1,4,3,2,3,1,4,3,1,0,0,0,3,0,1,1,2,3
44,5,1,2,-1,2,4,2,4,4,4,2,4,4,0,4,2,4,1,4,1,2,2
45,1,2,3,5,2,3,3,4,4,4,0,0,4,4,4,0,0,0,1,2,3,2
46,5,4,3,4,4,1,5,2,3,2,4,4,2,2,2,0,4,1,1,1,2,2
47,1,1,1,1,1,1,1,1,1,1,0,0,4,1,1,3,0,3,3,1,0,2
48,1,1,1,1,1,3,1,3,1,2,0,0,1,3,2,3,0,0,0,0,2,2
49,2,4,2,-1,2,4,4,4,4,4,1,1,4,4,4,2,1,2,1,1,2,1
50,2,4,3,5,4,2,4,4,4,4,1,1,4,4,4,4,1,0,0,1,3,2
51,5,5,1,1,5,2,4,0,0,3,3,4,1,0,4,1,4,0,0,2,3,2
52,2,4,2,1,2,4,1,1,1,1,1,1,1,1,1,2,1,0,0,1,1,1
53,5,1,1,1,3,4,5,2,2,2,4,4,1,2,2,1,4,1,1,4,4,3
